DATETIME,price
2024-12-31,511.23
2024-12-30,515.61
2024-12-27,522.56
2024-12-26,529.6
2024-12-24,529.96
2024-12-23,522.87
2024-12-20,518.66
2024-12-19,514.17
2024-12-18,516.47
2024-12-17,535.8
2024-12-16,538.17
2024-12-13,530.53
2024-12-12,526.5
2024-12-11,529.92
2024-12-10,520.6
2024-12-09,522.38
2024-12-06,526.48
2024-12-05,521.81
2024-12-04,523.26
2024-12-03,516.87
2024-12-02,515.29
2024-11-29,509.74
2024-11-27,505.3
2024-11-26,509.31
2024-11-25,506.59
2024-11-22,505.79
2024-11-21,504.98
2024-11-20,503.17
2024-11-19,503.46
2024-11-18,500.02
2024-11-15,496.57
2024-11-14,508.69
2024-11-13,512.25
2024-11-12,512.91
2024-11-11,513.84
2024-11-08,514.14
2024-11-07,513.54
2024-11-06,505.58
2024-11-05,492.21
2024-11-04,486.01
2024-11-01,487.43
2024-10-31,483.85
2024-10-30,496.38
2024-10-29,500.16
2024-10-28,495.4
2024-10-25,495.32
2024-10-24,492.32
2024-10-23,488.36
2024-10-22,495.96
2024-10-21,495.42
2024-10-18,494.47
2024-10-17,491.25
2024-10-16,490.91
2024-10-15,490.85
2024-10-14,497.5
2024-10-11,493.36
2024-10-10,492.59
2024-10-09,493.15
2024-10-08,489.3
2024-10-07,482.1
2024-10-04,487.32
2024-10-03,481.59
2024-10-02,481.95
2024-10-01,481.27
2024-09-30,488.07
2024-09-27,486.75
2024-09-26,489.47
2024-09-25,485.82
2024-09-24,485.37
2024-09-23,483.04
2024-09-20,482.44
2024-09-19,483.36
2024-09-18,471.44
2024-09-17,473.49
2024-09-16,473.24
2024-09-13,475.34
2024-09-12,473.22
2024-09-11,468.62
2024-09-10,458.66
2024-09-09,454.46
2024-09-06,448.69
2024-09-05,461.04
2024-09-04,460.61
2024-09-03,461.81
2024-08-30,476.27
2024-08-29,470.66
2024-08-28,471.35
2024-08-27,476.76
2024-08-26,475.34
2024-08-23,480.0
2024-08-22,474.85
2024-08-21,482.5
2024-08-20,480.26
2024-08-19,481.27
2024-08-16,475.03
2024-08-15,474.42
2024-08-14,462.73
2024-08-13,462.58
2024-08-12,451.38
2024-08-09,450.41
2024-08-08,448.07
2024-08-07,434.77
2024-08-06,439.53
2024-08-05,435.37
2024-08-02,448.75
2024-08-01,459.66
2024-07-31,471.07
2024-07-30,457.53
2024-07-29,463.9
2024-07-26,462.97
2024-07-25,458.27
2024-07-24,463.38
2024-07-23,480.62
2024-07-22,482.32
2024-07-19,475.24
2024-07-18,479.49
2024-07-17,481.77
2024-07-16,496.34
2024-07-15,496.15
2024-07-12,494.82
2024-07-11,491.93
2024-07-10,502.96
2024-07-09,497.77
2024-07-08,497.34
2024-07-05,496.16
2024-07-03,491.04
2024-07-02,486.98
2024-07-01,481.92
2024-06-28,479.11
2024-06-27,481.61
2024-06-26,480.37
2024-06-25,479.38
2024-06-24,473.96
2024-06-21,480.18
2024-06-20,481.47
2024-06-18,485.21
2024-06-17,485.06
2024-06-14,479.19
2024-06-13,476.72
2024-06-12,474.15
2024-06-11,468.02
2024-06-10,464.83
2024-06-07,462.96
2024-06-06,463.37
2024-06-05,463.53
2024-06-04,454.37
2024-06-03,453.13
2024-05-31,450.71
2024-05-30,451.55
2024-05-29,456.44
2024-05-28,459.68
2024-05-24,457.95
2024-05-23,453.66
2024-05-22,455.71
2024-05-21,455.8
2024-05-20,454.91
2024-05-17,451.76
2024-05-16,451.98
2024-05-15,452.9
2024-05-14,445.93
2024-05-13,443.08
2024-05-10,442.06
2024-05-09,441.02
2024-05-08,440.06
2024-05-07,440.32
2024-05-06,440.25
2024-05-03,435.48
2024-05-02,426.9
2024-05-01,421.52
2024-04-30,424.59
2024-04-29,432.75
2024-04-26,431.0
2024-04-25,424.45
2024-04-24,426.51
2024-04-23,425.07
2024-04-22,418.82
2024-04-19,414.65
2024-04-18,423.41
2024-04-17,425.84
2024-04-16,431.1
2024-04-15,431.06
2024-04-12,438.27
2024-04-11,445.37
2024-04-10,438.37
2024-04-09,442.23
2024-04-08,440.6
2024-04-05,440.47
2024-04-04,435.34
2024-04-03,442.1
2024-04-02,441.11
2024-04-01,444.95
2024-03-28,444.01
2024-03-27,444.83
2024-03-26,443.32
2024-03-25,444.76
2024-03-22,446.38
2024-03-21,445.87
2024-03-20,443.77
2024-03-19,438.57
2024-03-18,437.48
2024-03-15,433.92
2024-03-14,439.14
2024-03-13,440.25
2024-03-12,443.66
2024-03-11,437.39
2024-03-08,439.02
2024-03-07,445.45
2024-03-06,438.79
2024-03-05,436.05
2024-03-04,444.02
2024-03-01,445.61
2024-02-29,439.0
2024-02-28,435.27
2024-02-27,437.6
2024-02-26,436.55
2024-02-23,436.78
2024-02-22,438.07
2024-02-21,425.61
2024-02-20,427.32
2024-02-16,430.57
2024-02-15,434.51
2024-02-14,433.22
2024-02-13,428.55
2024-02-12,435.34
2024-02-09,437.05
2024-02-08,432.79
2024-02-07,431.99
2024-02-06,427.59
2024-02-05,428.45
2024-02-02,429.01
2024-02-01,421.88
2024-01-31,416.97
2024-01-30,425.3
2024-01-29,428.15
2024-01-26,423.81
2024-01-25,426.35
2024-01-24,425.83
2024-01-23,423.48
2024-01-22,421.73
2024-01-19,421.18
2024-01-18,412.99
2024-01-17,407.21
2024-01-16,409.52
2024-01-12,409.56
2024-01-11,409.35
2024-01-10,408.5
2024-01-09,405.75
2024-01-08,404.95
2024-01-05,396.75
2024-01-04,396.28
2024-01-03,398.33
2024-01-02,402.59
