DATETIME,price
2025-08-20,308.36
2025-08-19,305.27
2025-08-18,306.95
2025-08-15,307.43
2025-08-14,307.25
2025-08-13,309.21
2025-08-12,308.27
2025-08-11,308.55
2025-08-08,313.05
2025-08-07,313.12
2025-08-06,310.5
2025-08-05,311.16
2025-08-04,310.91
2025-08-01,309.11
2025-07-31,302.96
2025-07-30,300.96
2025-07-29,306.25
2025-07-28,305.41
2025-07-25,307.4
2025-07-24,310.27
2025-07-23,312.18
2025-07-22,316.1
2025-07-21,313.13
2025-07-18,308.39
2025-07-17,307.59
2025-07-16,308.26
2025-07-15,306.73
2025-07-14,308.01
2025-07-11,309.14
2025-07-10,306.2
2025-07-09,305.52
2025-07-08,304.16
2025-07-07,307.37
2025-07-03,307.14
2025-07-02,309.25
2025-07-01,307.55
2025-06-30,304.83
2025-06-27,301.22
2025-06-26,306.78
2025-06-25,307.12
2025-06-24,306.19
2025-06-23,311.08
2025-06-20,310.13
2025-06-18,310.26
2025-06-17,311.94
2025-06-16,311.78
2025-06-13,316.29
2025-06-12,312.2
2025-06-11,308.37
2025-06-10,306.71
2025-06-09,306.62
2025-06-06,305.18
2025-06-05,309.33
2025-06-04,310.9
2025-06-03,308.91
2025-06-02,311.67
2025-05-30,303.6
2025-05-29,305.61
2025-05-28,303.81
2025-05-27,304.5
2025-05-23,309.75
2025-05-22,303.11
2025-05-21,305.82
2025-05-20,303.58
2025-05-19,298.03
2025-05-16,294.24
2025-05-15,297.84
2025-05-14,293.16
2025-05-13,299.46
2025-05-12,298.19
2025-05-09,306.84
2025-05-08,304.63
2025-05-07,310.75
2025-05-06,315.48
2025-05-05,306.88
2025-05-02,297.98
2025-05-01,297.46
2025-04-30,303.77
2025-04-29,306.06
2025-04-28,309.07
2025-04-25,304.73
2025-04-24,308.07
2025-04-23,303.65
2025-04-22,311.11
2025-04-21,315.59
2025-04-17,306.12
2025-04-16,307.47
2025-04-15,297.78
2025-04-14,296.23
2025-04-11,297.93
2025-04-10,292.35
2025-04-09,285.38
2025-04-08,275.2
2025-04-07,273.71
2025-04-04,279.72
2025-04-03,286.42
2025-04-02,288.16
2025-04-01,287.57
2025-03-31,288.14
2025-03-28,284.06
2025-03-27,281.97
2025-03-26,278.24
2025-03-25,278.47
2025-03-24,277.25
2025-03-21,278.49
2025-03-20,280.75
2025-03-19,281.11
2025-03-18,279.96
2025-03-17,276.73
2025-03-14,275.24
2025-03-13,275.13
2025-03-12,270.33
2025-03-11,269.16
2025-03-10,266.04
2025-03-07,268.39
2025-03-06,268.25
2025-03-05,269.62
2025-03-04,269.06
2025-03-03,266.74
2025-02-28,263.27
2025-02-27,264.93
2025-02-26,269.03
2025-02-25,268.62
2025-02-24,272.21
2025-02-21,270.74
2025-02-20,270.99
2025-02-19,270.85
2025-02-18,270.7
2025-02-14,266.29
2025-02-13,270.31
2025-02-12,267.67
2025-02-11,267.39
2025-02-10,268.37
2025-02-07,263.9
2025-02-06,263.43
2025-02-05,264.13
2025-02-04,262.5
2025-02-03,259.94
2025-01-31,258.56
2025-01-30,258.05
2025-01-29,254.2
2025-01-28,255.18
2025-01-27,252.99
2025-01-24,255.65
2025-01-23,254.07
2025-01-22,254.43
2025-01-21,253.13
2025-01-17,249.27
2025-01-16,250.6
2025-01-15,248.88
2025-01-14,247.03
2025-01-13,245.74
2025-01-10,248.21
2025-01-08,245.86
2025-01-07,244.56
2025-01-06,243.19
2025-01-03,243.49
2025-01-02,245.42
