DATETIME,price
2025-08-20,86.84
2025-08-19,86.65
2025-08-18,86.15
2025-08-15,86.4
2025-08-14,87.02
2025-08-13,87.67
2025-08-12,86.95
2025-08-11,87.39
2025-08-08,87.29
2025-08-07,87.67
2025-08-06,87.82
2025-08-05,88.33
2025-08-04,88.06
2025-08-01,87.82
2025-07-31,86.92
2025-07-30,86.87
2025-07-29,87.32
2025-07-28,85.87
2025-07-25,86.43
2025-07-24,85.89
2025-07-23,86.04
2025-07-22,86.52
2025-07-21,86.0
2025-07-18,85.24
2025-07-17,85.11
2025-07-16,85.13
2025-07-15,85.01
2025-07-14,85.61
2025-07-11,85.79
2025-07-10,86.99
2025-07-09,86.93
2025-07-08,86.03
2025-07-07,86.14
2025-07-03,86.97
2025-07-02,87.58
2025-07-01,88.14
2025-06-30,88.25
2025-06-27,87.39
2025-06-26,87.95
2025-06-25,87.51
2025-06-24,87.4
2025-06-23,86.77
2025-06-20,86.49
2025-06-18,86.65
2025-06-17,86.5
2025-06-16,85.46
2025-06-13,86.33
2025-06-12,87.17
2025-06-11,86.14
2025-06-10,85.88
2025-06-09,85.44
2025-06-06,85.35
2025-06-05,86.45
2025-06-04,86.39
2025-06-03,85.01
2025-06-02,85.16
2025-05-30,86.28
2025-05-29,86.15
2025-05-28,85.36
2025-05-27,85.73
2025-05-23,84.55
2025-05-22,84.41
2025-05-21,83.97
2025-05-20,85.43
2025-05-19,86.05
2025-05-16,86.3
2025-05-15,86.07
2025-05-14,85.32
2025-05-13,85.89
2025-05-12,86.24
2025-05-09,87.05
2025-05-08,86.92
2025-05-07,87.9
2025-05-06,87.53
2025-05-05,87.24
2025-05-02,87.73
2025-05-01,88.69
2025-04-30,89.47
2025-04-29,90.2
2025-04-28,89.45
2025-04-25,88.89
2025-04-24,88.24
2025-04-23,87.32
2025-04-22,86.48
2025-04-21,86.0
2025-04-17,87.53
2025-04-16,88.31
2025-04-15,87.82
2025-04-14,87.51
2025-04-11,86.89
2025-04-10,86.42
2025-04-09,88.87
2025-04-08,88.35
2025-04-07,90.05
2025-04-04,92.85
2025-04-03,91.85
2025-04-02,91.43
2025-04-01,91.49
2025-03-31,91.03
2025-03-28,90.14
2025-03-27,88.91
2025-03-26,89.17
2025-03-25,89.76
2025-03-24,89.77
2025-03-21,90.7
2025-03-20,91.24
2025-03-19,91.18
2025-03-18,90.71
2025-03-17,90.62
2025-03-14,90.17
2025-03-13,90.65
2025-03-12,89.86
2025-03-11,90.4
2025-03-10,91.05
2025-03-07,90.11
2025-03-06,90.4
2025-03-05,90.7
2025-03-04,91.43
2025-03-03,92.57
2025-02-28,92.43
2025-02-27,91.31
2025-02-26,91.96
2025-02-25,91.42
2025-02-24,89.87
2025-02-21,89.61
2025-02-20,88.54
2025-02-19,88.21
2025-02-18,88.1
2025-02-14,89.15
2025-02-13,88.68
2025-02-12,87.23
2025-02-11,88.43
2025-02-10,89.0
2025-02-07,89.27
2025-02-06,89.85
2025-02-05,89.89
2025-02-04,88.43
2025-02-03,88.16
2025-01-31,87.76
2025-01-30,88.34
2025-01-29,88.01
2025-01-28,88.19
2025-01-27,88.25
2025-01-24,87.22
2025-01-23,86.83
2025-01-22,87.51
2025-01-21,87.97
2025-01-17,87.19
2025-01-16,87.04
2025-01-15,86.76
2025-01-14,85.29
2025-01-13,85.43
2025-01-10,85.46
2025-01-08,86.03
2025-01-07,85.92
2025-01-06,86.9
2025-01-03,87.29
2025-01-02,87.57
