,date,account_value,daily_return
0,2025-01-01,0.0,
1,2025-01-02,0.0,
2,2025-01-03,0.0,
3,2025-01-06,-191.6613699987368,-inf
4,2025-01-07,0.0,-1.0
5,2025-01-08,100000.00000000284,inf
6,2025-01-09,50000.0,-0.5000000000000142
7,2025-01-10,0.0,-1.0
8,2025-01-13,-50000.0,-inf
9,2025-01-14,-50000.0,0.0
10,2025-01-15,0.0,-1.0
11,2025-01-16,50000.0,inf
12,2025-01-17,0.0,-1.0
13,2025-01-20,0.0,
14,2025-01-21,0.0,
15,2025-01-22,50000.0,inf
16,2025-01-23,249990.41675792262,3.999808335158453
17,2025-01-24,-47528.75030787989,-1.1901222891832057
18,2025-01-27,-9.583435960862767,-0.9997983654966986
19,2025-01-28,37490.41667639997,-3913.001585809608
20,2025-01-29,-9.583323597899177,-1.0002556206211475
21,2025-01-30,32500.000000003696,-3392.307792959035
22,2025-01-31,64990.41693468902,0.9997051364517424
23,2025-02-03,-90019.1677884857,-2.3851144835545353
24,2025-02-04,-49999.99999999858,-0.4445627389326515
25,2025-02-05,0.0,-1.0
26,2025-02-06,75000.00000000143,inf
27,2025-02-07,-25000.00000000284,-1.333333333333365
28,2025-02-10,0.0,-1.0
29,2025-02-11,-25009.584658712298,-inf
30,2025-02-12,-45000.0,0.7993101690444857
31,2025-02-13,22500.0,-1.5
32,2025-02-14,-39.98034225298823,-1.0017769041001328
33,2025-02-17,0.0,-1.0
34,2025-02-18,90000.0,inf
35,2025-02-19,-45000.00000000128,-1.5000000000000142
36,2025-02-20,-44999.99999999872,-5.695444116327053e-14
37,2025-02-21,22500.0,-1.5000000000000142
38,2025-02-24,0.0,-1.0
39,2025-02-25,-22500.0,-inf
40,2025-02-26,0.0,-1.0
41,2025-02-27,67500.00000000128,inf
42,2025-02-28,67490.41411437406,-0.00014201312040329483
43,2025-03-03,-120009.5882749268,-2.778172350099231
44,2025-03-04,0.0,-1.0
45,2025-03-05,17500.0,inf
46,2025-03-06,17499.999999999007,-5.67323965583455e-14
47,2025-03-07,-17499.999999999007,-2.0
48,2025-03-10,-17500.0,5.684341886080802e-14
49,2025-03-11,-17500.0,0.0
50,2025-03-12,-17500.000000000993,5.684341886080802e-14
51,2025-03-13,-17499.999999999007,-1.13464793116691e-13
52,2025-03-14,-9.589015146690926,-0.9994520562773319
53,2025-03-17,30000.0,-3129.5798949178534
54,2025-03-18,-15000.000000000853,-1.5000000000000284
55,2025-03-19,-29999.99999999915,0.9999999999998295
56,2025-03-20,0.0,-1.0
57,2025-03-21,14990.410577488834,inf
58,2025-03-24,12499.999999999289,-0.16613358017220725
59,2025-03-25,25000.00000000071,1.0000000000001705
60,2025-03-26,24999.99999999929,-5.67323965583455e-14
61,2025-03-27,12500.00000000142,-0.49999999999992895
62,2025-03-28,-25000.00000000071,-2.9999999999998295
63,2025-03-31,87500.0,-4.4999999999999005
64,2025-04-01,-25009.590774450917,-1.2858238945651532
65,2025-04-02,-19999.999999999432,-0.20030678708942085
66,2025-04-03,19999.999999999432,-2.0
67,2025-04-04,-40000.0,-3.000000000000057
68,2025-04-07,-19999.999999999432,-0.5000000000000142
69,2025-04-08,70000.00000000057,-4.500000000000128
70,2025-04-09,19999.999999999432,-0.7142857142857246
71,2025-04-10,-50009.5953998781,-3.5004797699939756
72,2025-04-11,-30000.0,-0.40011512270556926
73,2025-04-14,0.0,-1.0
74,2025-04-15,22500.000000000426,inf
75,2025-04-16,-37500.00000000085,-2.666666666666673
76,2025-04-17,7500.000000000427,-1.2000000000000068
77,2025-04-18,0.0,-1.0
78,2025-04-21,0.0,
79,2025-04-22,-15000.0,-inf
80,2025-04-23,-15000.0,0.0
81,2025-04-24,7500.0,-1.5
82,2025-04-25,30000.0,3.0
83,2025-04-28,22500.000000000426,-0.2499999999999858
84,2025-04-29,0.0,-1.0
85,2025-04-30,37499.99999999957,inf
86,2025-05-01,-15000.000000000426,-1.400000000000016
87,2025-05-02,-22499.99999999915,0.49999999999990075
88,2025-05-05,-22500.000000000426,5.684341886080802e-14
89,2025-05-06,-7500.0,-0.666666666666673
90,2025-05-07,-15000.0,1.0
91,2025-05-08,-7500.0,-0.5
92,2025-05-09,-7509.602424275323,0.0012803232367097905
93,2025-05-12,0.0,-1.0
94,2025-05-13,10000.0,inf
95,2025-05-14,-5000.0,-1.5
96,2025-05-15,9999.999999999716,-2.999999999999943
97,2025-05-16,-5028.845982923246,-1.502884598292339
98,2025-05-19,-5000.0,-0.0057361038737714365
99,2025-05-20,-10000.000000000284,1.0000000000000568
100,2025-05-21,-4999.999999999716,-0.5000000000000426
101,2025-05-22,0.0,-1.0
102,2025-05-23,0.0,
103,2025-05-26,0.0,
104,2025-05-27,24999.999999999716,inf
105,2025-05-28,10000.000000000284,-0.5999999999999841
106,2025-05-29,0.0,-1.0
107,2025-05-30,9999.999999999716,inf
