,baseline,handcraft,shrinkage,hrp,equal
1972-10-18,0.0,0.0,0.0,0.0,0.0
1972-10-19,0.0,0.0,0.0,0.0,0.0
1972-10-20,0.0,0.0,0.0,0.0,0.0
1972-10-23,0.0,0.0,0.0,0.0,0.0
1972-10-24,0.0,0.0,0.0,0.0,0.0
1972-10-25,0.0,0.0,0.0,0.0,0.0
1972-10-26,0.0,0.0,0.0,0.0,0.0
1972-10-27,0.0,0.0,0.0,0.0,0.0
1972-10-30,0.0,0.0,0.0,0.0,0.0
1972-10-31,0.0,0.0,0.0,0.0,0.0
1972-11-01,0.0,0.0,0.0,0.0,0.0
1972-11-02,-0.029070753249571327,-0.011628301299828532,-0.011628301299828532,-0.011628301299828532,-0.011628301299828532
1972-11-03,-0.06721951241360469,-0.02710975620680257,-0.02710975620680257,-0.02710975620680257,-0.02710975620680257
1972-11-06,-0.74313883809836,-0.30362589206557267,-0.30362589206557267,-0.30362589206557267,-0.30362589206557267
1972-11-07,-0.0021387248254991654,-0.0010693624127495827,-0.0010693624127495827,-0.0010693624127495827,-0.0010693624127495827
1972-11-08,0.6378890013557479,0.27894450067787396,0.27894450067787396,0.27894450067787396,0.27894450067787396
1972-11-09,-0.17102124602210705,-0.07602124602210703,-0.07602124602210703,-0.07602124602210703,-0.07602124602210703
1972-11-10,-0.35397620468272006,-0.16099405117068002,-0.16099405117068002,-0.16099405117068002,-0.16099405117068002
1972-11-13,2.040306525783169,0.8886043505221117,0.8886043505221117,0.8886043505221117,0.8886043505221117
1972-11-14,-0.31080000000000385,-0.14060000000000172,-0.14060000000000172,-0.14060000000000172,-0.14060000000000172
1972-11-15,1.26,0.57,0.57,0.57,0.57
1972-11-16,-1.471105329863152,-0.6661053298631521,-0.6661053298631521,-0.6661053298631521,-0.6661053298631521
1972-11-17,0.2139208344692486,0.1,0.1,0.1,0.1
1972-11-20,-1.5422039664566256,-0.7022039664566255,-0.7022039664566255,-0.7022039664566255,-0.7022039664566255
1972-11-21,0.7993119627028407,0.38280000000000197,0.38280000000000197,0.38280000000000197,0.38280000000000197
1972-11-22,-0.23713242787259564,-0.11106621393629783,-0.11106621393629783,-0.11106621393629783,-0.11106621393629783
1972-11-23,-0.0020893600606411576,-0.0010446800303205788,-0.0010446800303205788,-0.0010446800303205788,-0.0010446800303205788
1972-11-24,1.4065524062805355,0.6613524062805378,0.6613524062805378,0.6613524062805378,0.6613524062805378
1972-11-27,1.5578947177844593,0.7489473588922296,0.7489473588922296,0.7489473588922296,0.7489473588922296
1972-11-28,-1.351055693493228,-0.651055693493228,-0.651055693493228,-0.651055693493228,-0.651055693493228
1972-11-29,-2.345182385002506,-1.151291192501253,-1.151291192501253,-1.151291192501253,-1.151291192501253
1972-11-30,3.283199999999995,1.6127999999999973,1.6127999999999973,1.6127999999999973,1.6127999999999973
1972-12-01,3.135,1.54,1.54,1.54,1.54
1972-12-04,6.555,3.22,3.22,3.22,3.22
1972-12-05,0.5600824000094723,0.27574960000405957,0.27574960000405957,0.27574960000405957,0.27574960000405957
1972-12-06,-3.0,-1.5,-1.5,-1.5,-1.5
1972-12-07,1.25,0.625,0.625,0.625,0.625
1972-12-08,2.5,1.25,1.25,1.25,1.25
1972-12-11,-2.5,-1.25,-1.25,-1.25,-1.25
1972-12-12,1.0,0.5,0.5,0.5,0.5
1972-12-13,-2.501512952278585,-1.2515129522785848,-1.2515129522785848,-1.2515129522785848,-1.2515129522785848
1972-12-14,-0.51,-0.26,-0.26,-0.26,-0.26
1972-12-15,-1.2779808908928523,-0.65,-0.65,-0.65,-0.65
1972-12-18,-6.361671123344749,-3.121671123344749,-3.121671123344749,-3.121671123344749,-3.121671123344749
1972-12-19,1.0750313898901311,0.5383437966300437,0.5383437966300437,0.5383437966300437,0.5383437966300437
1972-12-20,3.947400000000004,2.012400000000002,2.012400000000002,2.012400000000002,2.012400000000002
1972-12-21,1.1509086331729153,0.5859086331729175,0.5859086331729175,0.5859086331729175,0.5859086331729175
1972-12-22,-2.5,-1.25,-1.25,-1.25,-1.25
1972-12-25,0.0,0.0,0.0,0.0,0.0
1972-12-26,0.5,0.25,0.25,0.25,0.25
1972-12-27,-0.12999999999999545,-0.06499999999999773,-0.06499999999999773,-0.06499999999999773,-0.06499999999999773
1972-12-28,0.0,0.0,0.0,0.0,0.0
1972-12-29,2.25,1.125,1.125,1.125,1.125
1973-01-01,0.0,0.0,0.0,0.0,0.0
1973-01-02,-2.25,-1.125,-1.125,-1.125,-1.125
1973-01-03,0.37999999999999545,0.18999999999999773,0.18999999999999773,0.18999999999999773,0.18999999999999773
1973-01-04,-2.5,-1.25,-1.25,-1.25,-1.25
1973-01-05,-1.5,-0.75,-0.75,-0.75,-0.75
1973-01-08,-2.5,-1.25,-1.25,-1.25,-1.25
1973-01-09,2.0,1.0,1.0,1.0,1.0
1973-01-10,1.5,0.75,0.75,0.75,0.75
1973-01-11,-5.25,-2.625,-2.625,-2.625,-2.625
1973-01-12,-0.75,-0.375,-0.375,-0.375,-0.375
1973-01-15,0.0,0.0,0.0,0.0,0.0
1973-01-16,2.370000000000004,1.185000000000002,1.185000000000002,1.185000000000002,1.185000000000002
1973-01-17,-1.6200000000000045,-0.8100000000000023,-0.8100000000000023,-0.8100000000000023,-0.8100000000000023
1973-01-18,-0.5,-0.25,-0.25,-0.25,-0.25
1973-01-19,0.75,0.375,0.375,0.375,0.375
1973-01-22,0.75,0.375,0.375,0.375,0.375
1973-01-23,2.0,1.0,1.0,1.0,1.0
1973-01-24,0.75,0.375,0.375,0.375,0.375
1973-01-25,0.0,0.0,0.0,0.0,0.0
1973-01-26,-3.25,-1.625,-1.625,-1.625,-1.625
1973-01-29,-0.75,-0.375,-0.375,-0.375,-0.375
1973-01-30,-0.5,-0.25,-0.25,-0.25,-0.25
1973-01-31,0.5,0.25,0.25,0.25,0.25
1973-02-01,-2.25,-1.1266227604506656,-1.1266227604506656,-1.1266227604506656,-1.1266227604506656
1973-02-02,2.0,1.04,1.04,1.04,1.04
1973-02-05,1.5,0.78,0.78,0.78,0.78
1973-02-06,-1.75,-0.91,-0.91,-0.91,-0.91
1973-02-07,-0.5,-0.26,-0.26,-0.26,-0.26
1973-02-08,0.0,0.0,0.0,0.0,0.0
1973-02-09,1.248406975270037,0.65,0.65,0.65,0.65
1973-02-12,3.315,1.6883879755947937,1.6883879755947937,1.6883879755947937,1.6883879755947937
1973-02-13,1.275,0.675,0.675,0.675,0.675
1973-02-14,-2.684214890105994,-1.4201999999999975,-1.4201999999999975,-1.4201999999999975,-1.4201999999999975
