vol_func,variant,window,ann_return_pctpts,ann_std_pctpts,sharpe,worst_drawdown_pctpts,n_days
har_vol_calc,baseline,full,16.14,37.01,0.436,-248.03,13422
har_vol_calc,baseline,1980s,16.93,42.88,0.395,-161.34,2609
har_vol_calc,baseline,1990s,32.45,37.29,0.87,-99.58,2610
har_vol_calc,baseline,2000s,14.28,30.73,0.465,-73.02,2609
har_vol_calc,baseline,2010s,9.15,26.08,0.351,-63.7,2608
har_vol_calc,baseline,2020s,9.39,27.82,0.337,-47.84,1107
har_vol_calc,handcraft,full,11.96,26.1,0.458,-130.04,13422
har_vol_calc,handcraft,1980s,8.05,26.29,0.306,-116.91,2609
har_vol_calc,handcraft,1990s,23.9,27.87,0.858,-70.32,2610
har_vol_calc,handcraft,2000s,13.46,26.09,0.516,-55.11,2609
har_vol_calc,handcraft,2010s,11.49,24.55,0.468,-56.08,2608
har_vol_calc,handcraft,2020s,3.04,23.52,0.129,-52.37,1107
har_vol_calc,shrinkage,full,12.72,26.46,0.481,-130.04,13422
har_vol_calc,shrinkage,1980s,9.3,26.72,0.348,-113.12,2609
har_vol_calc,shrinkage,1990s,25.66,28.56,0.898,-69.95,2610
har_vol_calc,shrinkage,2000s,13.95,26.12,0.534,-55.22,2609
har_vol_calc,shrinkage,2010s,11.67,24.72,0.472,-52.44,2608
har_vol_calc,shrinkage,2020s,3.65,24.72,0.148,-55.31,1107
har_vol_calc,hrp,full,16.27,29.67,0.548,-130.04,13422
har_vol_calc,hrp,1980s,12.82,27.7,0.463,-96.0,2609
har_vol_calc,hrp,1990s,37.45,37.19,1.007,-70.68,2610
har_vol_calc,hrp,2000s,14.52,27.24,0.533,-56.81,2609
har_vol_calc,hrp,2010s,16.4,29.41,0.558,-68.77,2608
har_vol_calc,hrp,2020s,-1.94,24.29,-0.08,-63.2,1107
har_vol_calc,equal,full,13.35,26.47,0.504,-130.04,13422
har_vol_calc,equal,1980s,10.86,27.08,0.401,-105.43,2609
har_vol_calc,equal,1990s,26.38,28.01,0.942,-71.11,2610
har_vol_calc,equal,2000s,13.78,26.05,0.529,-53.55,2609
har_vol_calc,equal,2010s,13.82,25.51,0.542,-55.25,2608
har_vol_calc,equal,2020s,1.22,23.62,0.052,-60.97,1107
