,baseline,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1972-10-18,0.0,0.0,0.0,0.0,0.0
1972-10-19,0.0,0.0,0.0,0.0,0.0
1972-10-20,0.0,0.0,0.0,0.0,0.0
1972-10-23,0.0,0.0,0.0,0.0,0.0
1972-10-24,0.0,0.0,0.0,0.0,0.0
1972-10-25,0.0,0.0,0.0,0.0,0.0
1972-10-26,0.0,0.0,0.0,0.0,0.0
1972-10-27,0.0,0.0,0.0,0.0,0.0
1972-10-30,0.0,0.0,0.0,0.0,0.0
1972-10-31,0.0,0.0,0.0,0.0,0.0
1972-11-01,0.0,0.0,0.0,0.0,0.0
1972-11-02,-0.029070753249571327,-0.004651320519931413,-0.004651320519931413,-0.004651320519931413,-0.004651320519931413
1972-11-03,-0.06721951241360469,-0.010399999999999637,-0.010399999999999637,-0.010399999999999637,-0.010399999999999637
1972-11-06,-0.74313883809836,-0.10960000000000036,-0.10960000000000036,-0.10960000000000036,-0.10960000000000036
1972-11-07,-0.0021387248254991654,0.0,0.0,0.0,0.0
1972-11-08,0.6378890013557479,0.08,0.08,0.08,0.08
1972-11-09,-0.17102124602210705,-0.02,-0.02,-0.02,-0.02
1972-11-10,-0.35397620468272006,-0.04,-0.04,-0.04,-0.04
1972-11-13,2.040306525783169,0.20960000000000034,0.20960000000000034,0.20960000000000034,0.20960000000000034
1972-11-14,-0.31080000000000385,-0.033884110030804875,-0.033884110030804875,-0.033884110030804875,-0.033884110030804875
1972-11-15,1.26,0.2389245144562682,0.2389245144562682,0.2389245144562682,0.2389245144562682
1972-11-16,-1.471105329863152,-0.3205266493157599,-0.3205266493157599,-0.3205266493157599,-0.3205266493157599
1972-11-17,0.2139208344692486,0.07,0.07,0.07,0.07
1972-11-20,-1.5422039664566256,-0.49,-0.49,-0.49,-0.49
1972-11-21,0.7993119627028407,0.24142392540567417,0.24142392540567417,0.24142392540567417,0.24142392540567417
1972-11-22,-0.23713242787259564,-0.06,-0.06,-0.06,-0.06
1972-11-23,-0.0020893600606411576,0.0,0.0,0.0,0.0
1972-11-24,1.4065524062805355,0.3311999999999989,0.3311999999999989,0.3311999999999989,0.3311999999999989
1972-11-27,1.5578947177844593,0.36,0.36,0.36,0.36
1972-11-28,-1.351055693493228,-0.30738985445259565,-0.30738985445259565,-0.30738985445259565,-0.30738985445259565
1972-11-29,-2.345182385002506,-0.8093999999999982,-0.8093999999999982,-0.8093999999999982,-0.8093999999999982
1972-11-30,3.283199999999995,1.0897708564185267,1.0897708564185267,1.0897708564185267,1.0897708564185267
1972-12-01,3.135,0.825,0.825,0.825,0.825
1972-12-04,6.555,1.71636842147654,1.71636842147654,1.71636842147654,1.71636842147654
1972-12-05,0.5600824000094723,0.20149920000811913,0.20149920000811913,0.20149920000811913,0.20149920000811913
1972-12-06,-3.0,-1.6273738819715289,-1.6273738819715289,-1.6273738819715289,-1.6273738819715289
1972-12-07,1.25,0.8,0.8,0.8,0.8
1972-12-08,2.5,1.6,1.6,1.6,1.6
1972-12-11,-2.5,-1.6,-1.6,-1.6,-1.6
1972-12-12,1.0,0.64,0.64,0.64,0.64
1972-12-13,-2.501512952278585,-1.6,-1.6,-1.6,-1.6
1972-12-14,-0.51,-0.3259875752687499,-0.3259875752687499,-0.3259875752687499,-0.3259875752687499
1972-12-15,-1.2779808908928523,-0.7044713363392786,-0.7044713363392786,-0.7044713363392786,-0.7044713363392786
1972-12-18,-6.361671123344749,-3.0050133700342467,-3.0050133700342467,-3.0050133700342467,-3.0050133700342467
1972-12-19,1.0750313898901311,0.4151569494506554,0.4151569494506554,0.4151569494506554,0.4151569494506554
1972-12-20,3.947400000000004,0.5383882194425968,0.5383882194425968,0.5383882194425968,0.5383882194425968
1972-12-21,1.1509086331729153,0.11299999999999955,0.11299999999999955,0.11299999999999955,0.11299999999999955
1972-12-22,-2.5,-0.2568166273361158,-0.2568166273361158,-0.2568166273361158,-0.2568166273361158
1972-12-25,0.0,0.0,0.0,0.0,0.0
1972-12-26,0.5,0.09,0.09,0.09,0.09
1972-12-27,-0.12999999999999545,-0.023399999999999182,-0.023399999999999182,-0.023399999999999182,-0.023399999999999182
1972-12-28,0.0,0.0,0.0,0.0,0.0
1972-12-29,2.25,0.405,0.405,0.405,0.405
1973-01-01,0.0,-0.004869112456912507,-0.004869112456912507,-0.004869112456912507,-0.004869112456912507
1973-01-02,-2.25,-0.54,-0.54,-0.54,-0.54
1973-01-03,0.37999999999999545,0.09119999999999891,0.09119999999999891,0.09119999999999891,0.09119999999999891
1973-01-04,-2.5,-0.6,-0.6,-0.6,-0.6
1973-01-05,-1.5,-0.3632437848813196,-0.3632437848813196,-0.3632437848813196,-0.3632437848813196
1973-01-08,-2.5,-0.5065259763333031,-0.5065259763333031,-0.5065259763333031,-0.5065259763333031
1973-01-09,2.0,0.23020553975646524,0.23020553975646524,0.23020553975646524,0.23020553975646524
1973-01-10,1.5,0.0,0.0,0.0,0.0
1973-01-11,-5.25,0.0,0.0,0.0,0.0
1973-01-12,-0.75,0.0,0.0,0.0,0.0
1973-01-15,0.0,-0.006736357177472536,-0.006736357177472536,-0.006736357177472536,-0.006736357177472536
1973-01-16,2.370000000000004,-0.19129003716067805,-0.19129003716067805,-0.19129003716067805,-0.19129003716067805
1973-01-17,-1.6200000000000045,0.16200000000000048,0.16200000000000048,0.16200000000000048,0.16200000000000048
1973-01-18,-0.5,0.05,0.05,0.05,0.05
1973-01-19,0.75,-0.075,-0.075,-0.075,-0.075
1973-01-22,0.75,-0.075,-0.075,-0.075,-0.075
1973-01-23,2.0,-0.2,-0.2,-0.2,-0.2
1973-01-24,0.75,-0.0832092175681205,-0.0832092175681205,-0.0832092175681205,-0.0832092175681205
1973-01-25,0.0,-0.008150371121605925,-0.008150371121605925,-0.008150371121605925,-0.008150371121605925
1973-01-26,-3.25,-0.325,-0.325,-0.325,-0.325
1973-01-29,-0.75,-0.075,-0.075,-0.075,-0.075
1973-01-30,-0.5,-0.05488931040310027,-0.05488931040310027,-0.05488931040310027,-0.05488931040310027
1973-01-31,0.5,0.016760796288878547,0.016760796288878547,0.016760796288878547,0.016760796288878547
1973-02-01,-2.25,0.0,0.0,0.0,0.0
1973-02-02,2.0,-0.008121059141520772,-0.008121059141520772,-0.008121059141520772,-0.008121059141520772
1973-02-05,1.5,-0.15,-0.15,-0.15,-0.15
1973-02-06,-1.75,0.1717637575986321,0.1717637575986321,0.1717637575986321,0.1717637575986321
1973-02-07,-0.5,0.03,0.03,0.03,0.03
1973-02-08,0.0,0.0,0.0,0.0,0.0
