,baseline
1972-10-18,0.0
1972-10-19,0.0
1972-10-20,0.0
1972-10-23,0.0
1972-10-24,0.0
1972-10-25,0.0
1972-10-26,0.0
1972-10-27,0.0
1972-10-30,0.0
1972-10-31,0.0
1972-11-01,0.0
1972-11-02,-0.029070753249571327
1972-11-03,-0.06721951241360469
1972-11-06,-0.74313883809836
1972-11-07,-0.0021387248254991654
1972-11-08,0.6378890013557479
1972-11-09,-0.17102124602210705
1972-11-10,-0.35397620468272006
1972-11-13,2.040306525783169
1972-11-14,-0.31080000000000385
1972-11-15,1.26
1972-11-16,-1.471105329863152
1972-11-17,0.2139208344692486
1972-11-20,-1.5422039664566256
1972-11-21,0.7993119627028407
1972-11-22,-0.23713242787259564
1972-11-23,-0.0020893600606411576
1972-11-24,1.4065524062805355
1972-11-27,1.5578947177844593
1972-11-28,-1.351055693493228
1972-11-29,-2.345182385002506
1972-11-30,3.283199999999995
1972-12-01,3.135
1972-12-04,6.555
1972-12-05,0.5600824000094723
1972-12-06,-3.0
1972-12-07,1.25
1972-12-08,2.5
1972-12-11,-2.5
1972-12-12,1.0
1972-12-13,-2.501512952278585
1972-12-14,-0.51
1972-12-15,-1.2779808908928523
1972-12-18,-6.361671123344749
1972-12-19,1.0750313898901311
1972-12-20,3.947400000000004
1972-12-21,1.1509086331729153
1972-12-22,-2.5
1972-12-25,0.0
1972-12-26,0.5
1972-12-27,-0.12999999999999545
1972-12-28,0.0
1972-12-29,2.25
1973-01-01,0.0
1973-01-02,-2.25
1973-01-03,0.37999999999999545
1973-01-04,-2.5
1973-01-05,-1.5
1973-01-08,-2.5
1973-01-09,2.0
1973-01-10,1.5
1973-01-11,-5.25
1973-01-12,-0.75
1973-01-15,0.0
1973-01-16,2.370000000000004
1973-01-17,-1.6200000000000045
1973-01-18,-0.5
1973-01-19,0.75
1973-01-22,0.75
1973-01-23,2.0
1973-01-24,0.75
1973-01-25,0.0
1973-01-26,-3.25
1973-01-29,-0.75
1973-01-30,-0.5
1973-01-31,0.5
1973-02-01,-2.25
1973-02-02,2.0
1973-02-05,1.5
1973-02-06,-1.75
1973-02-07,-0.5
1973-02-08,0.0
1973-02-09,1.248406975270037
1973-02-12,3.315
1973-02-13,1.275
1973-02-14,-2.684214890105994
1973-02-15,0.6551999999999952
1973-02-16,1.2983989468800403
1973-02-19,-0.003183650516853773
1973-02-20,1.1
1973-02-21,5.496726367073729
1973-02-22,2.28
1973-02-23,-3.1366464647048007
1973-02-26,-1.16
1973-02-27,-0.8732655268310849
1973-02-28,1.7967422230945584
1973-03-01,6.196650547823446
1973-03-02,-2.56
1973-03-05,3.0336000000000056
1973-03-06,0.1663999999999942
1973-03-07,0.6350155002656925
1973-03-08,-4.025020753208715
1973-03-09,1.05
1973-03-12,-3.5
1973-03-13,-0.7
1973-03-14,1.75
1973-03-15,1.3966939807911036
1973-03-16,0.3567094997638519
1973-03-19,-2.593288484155824
1973-03-20,1.14
1973-03-21,0.37836993329519414
1973-03-22,4.615082051733099
1973-03-23,-2.8
1973-03-26,-1.2
1973-03-27,-2.8
1973-03-28,3.3920000000000075
1973-03-29,0.20799999999999272
1973-03-30,0.796762715978117
1973-04-02,9.016669484182762
1973-04-03,-3.36
1973-04-04,2.52
1973-04-05,-2.3183999999999925
1973-04-06,-1.26
1973-04-09,5.88
1973-04-10,-2.3016000000000076
1973-04-11,-1.0583999999999922
1973-04-12,2.52
1973-04-13,0.21839999999999238
1973-04-16,2.94
1973-04-17,-1.26
1973-04-18,5.03670266637099
1973-04-19,1.29
1973-04-20,-0.0032733149630514314
1973-04-23,4.4
1973-04-24,-3.9632852623634305
1973-04-25,7.2
1973-04-26,-6.75
1973-04-27,-0.9050170624811049
1973-04-30,8.7
1973-05-01,8.25636650748772
1973-05-02,-5.743481210536935
1973-05-03,5.193008692210907
1973-05-04,-0.38
1973-05-07,6.46
1973-05-08,1.9
1973-05-09,0.76
1973-05-10,-9.125386123732111
1973-05-11,0.782842667213493
1973-05-14,3.0
1973-05-15,0.375
1973-05-16,-3.75
1973-05-17,-1.125
1973-05-18,6.375
1973-05-21,11.625
1973-05-22,1.8694297124148989
1973-05-23,1.08
1973-05-24,1.8
1973-05-25,11.874251520979449
1973-05-28,0.0
1973-05-29,12.0
1973-05-30,-11.25
1973-05-31,3.7317079300008964
1973-06-01,6.6
1973-06-04,13.53
1973-06-05,13.195545213978058
1973-06-06,-12.80697268068929
1973-06-07,-12.219319294281817
1973-06-08,4.225484923285511
1973-06-11,9.042800000000003
1973-06-12,2.0021999999999958
1973-06-13,-2.82
1973-06-14,-9.165
1973-06-15,-7.287605341151602
1973-06-18,8.964666877017082
1973-06-19,3.734659533376315
1973-06-20,-5.88
1973-06-21,5.46
1973-06-22,-5.46
1973-06-25,1.89
1973-06-26,-6.3
1973-06-27,-0.63
1973-06-28,-8.299199999999995
1973-06-29,5.773445917224694
1973-07-02,8.090912250626689
1973-07-03,0.5791148505983549
1973-07-04,0.0
1973-07-05,-7.03
1973-07-06,1.85
1973-07-09,0.925
1973-07-10,-3.33
1973-07-11,7.673800000000003
1973-07-12,1.2061999999999968
1973-07-13,4.44
1973-07-16,6.29
1973-07-17,-3.885
1973-07-18,1.11
1973-07-19,7.77
1973-07-20,7.4
1973-07-23,5.92
1973-07-24,-3.703324660096258
1973-07-25,6.836634005320341
1973-07-26,4.676620334807709
1973-07-27,-8.003444614865945
1973-07-30,8.61
1973-07-31,8.2
1973-08-01,-2.87
1973-08-02,-1.23
1973-08-03,7.79
1973-08-06,8.2
1973-08-07,8.2
1973-08-08,7.79
1973-08-09,-2.05
1973-08-10,7.79
1973-08-13,8.2
1973-08-14,8.2
1973-08-15,-8.2
1973-08-16,-8.203951421293407
1973-08-17,-1.2079057466493612
1973-08-20,-3.8
1973-08-21,-7.22
1973-08-22,-7.60406807887039
1973-08-23,-7.4041226096728545
1973-08-24,7.2
1973-08-27,-7.384197302519427
1973-08-28,-7.0
1973-08-29,0.5207541564818826
1973-08-30,-8.16
1973-08-31,0.68
1973-09-03,0.0
1973-09-04,-5.78
1973-09-05,-6.8
1973-09-06,3.7355872710235536
1973-09-07,7.26
1973-09-10,-2.3189343128812863
1973-09-11,2.79
1973-09-12,-5.735
