,handcraft,shrinkage,hrp,equal,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1972-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-11-02,-0.011628301299828532,-0.011628301299828532,-0.011628301299828532,-0.011628301299828532,-0.004651320519931413,-0.004651320519931413,-0.004651320519931413,-0.004651320519931413
1972-11-03,-0.02710975620680257,-0.02710975620680257,-0.02710975620680257,-0.02710975620680257,-0.010399999999999637,-0.010399999999999637,-0.010399999999999637,-0.010399999999999637
1972-11-06,-0.30362589206557267,-0.30362589206557267,-0.30362589206557267,-0.30362589206557267,-0.10960000000000036,-0.10960000000000036,-0.10960000000000036,-0.10960000000000036
1972-11-07,-0.0010693624127495827,-0.0010693624127495827,-0.0010693624127495827,-0.0010693624127495827,0.0,0.0,0.0,0.0
1972-11-08,0.27894450067787396,0.27894450067787396,0.27894450067787396,0.27894450067787396,0.08,0.08,0.08,0.08
1972-11-09,-0.07602124602210703,-0.07602124602210703,-0.07602124602210703,-0.07602124602210703,-0.02,-0.02,-0.02,-0.02
1972-11-10,-0.16099405117068002,-0.16099405117068002,-0.16099405117068002,-0.16099405117068002,-0.04,-0.04,-0.04,-0.04
1972-11-13,0.8886043505221117,0.8886043505221117,0.8886043505221117,0.8886043505221117,0.20960000000000034,0.20960000000000034,0.20960000000000034,0.20960000000000034
1972-11-14,-0.14060000000000172,-0.14060000000000172,-0.14060000000000172,-0.14060000000000172,-0.033884110030804875,-0.033884110030804875,-0.033884110030804875,-0.033884110030804875
1972-11-15,0.57,0.57,0.57,0.57,0.2389245144562682,0.2389245144562682,0.2389245144562682,0.2389245144562682
1972-11-16,-0.6661053298631521,-0.6661053298631521,-0.6661053298631521,-0.6661053298631521,-0.3205266493157599,-0.3205266493157599,-0.3205266493157599,-0.3205266493157599
1972-11-17,0.1,0.1,0.1,0.1,0.07,0.07,0.07,0.07
1972-11-20,-0.7022039664566255,-0.7022039664566255,-0.7022039664566255,-0.7022039664566255,-0.49,-0.49,-0.49,-0.49
1972-11-21,0.38280000000000197,0.38280000000000197,0.38280000000000197,0.38280000000000197,0.24142392540567417,0.24142392540567417,0.24142392540567417,0.24142392540567417
1972-11-22,-0.11106621393629783,-0.11106621393629783,-0.11106621393629783,-0.11106621393629783,-0.06,-0.06,-0.06,-0.06
1972-11-23,-0.0010446800303205788,-0.0010446800303205788,-0.0010446800303205788,-0.0010446800303205788,0.0,0.0,0.0,0.0
1972-11-24,0.6613524062805378,0.6613524062805378,0.6613524062805378,0.6613524062805378,0.3311999999999989,0.3311999999999989,0.3311999999999989,0.3311999999999989
1972-11-27,0.7489473588922296,0.7489473588922296,0.7489473588922296,0.7489473588922296,0.36,0.36,0.36,0.36
1972-11-28,-0.651055693493228,-0.651055693493228,-0.651055693493228,-0.651055693493228,-0.30738985445259565,-0.30738985445259565,-0.30738985445259565,-0.30738985445259565
1972-11-29,-1.151291192501253,-1.151291192501253,-1.151291192501253,-1.151291192501253,-0.8093999999999982,-0.8093999999999982,-0.8093999999999982,-0.8093999999999982
1972-11-30,1.6127999999999973,1.6127999999999973,1.6127999999999973,1.6127999999999973,1.0897708564185267,1.0897708564185267,1.0897708564185267,1.0897708564185267
