variant,window,ann_return_pctpts,ann_std_pctpts,sharpe,worst_drawdown_pctpts,n_days
handcraft,full,11.47,23.33,0.491,-104.23,13422
handcraft,1980s,7.13,22.66,0.315,-96.21,2609
handcraft,1990s,16.82,24.23,0.694,-65.95,2610
handcraft,2000s,12.73,24.64,0.517,-51.0,2609
handcraft,2010s,13.53,21.1,0.641,-41.6,2608
handcraft,2020s,4.01,20.87,0.192,-44.77,1107
shrinkage,full,11.85,23.52,0.504,-100.74,13422
shrinkage,1980s,8.47,23.02,0.368,-92.09,2609
shrinkage,1990s,18.52,24.64,0.751,-66.02,2610
shrinkage,2000s,12.47,24.53,0.508,-53.4,2609
shrinkage,2010s,12.66,21.22,0.597,-40.43,2608
shrinkage,2020s,4.15,21.31,0.195,-46.01,1107
hrp,full,14.24,25.73,0.553,-94.9,13422
hrp,1980s,11.94,23.96,0.499,-76.32,2609
hrp,1990s,27.8,31.71,0.877,-68.17,2610
hrp,2000s,12.3,24.16,0.509,-53.82,2609
hrp,2010s,15.08,24.61,0.613,-59.77,2608
hrp,2020s,-2.26,20.15,-0.112,-52.84,1107
equal,full,12.74,23.64,0.539,-94.9,13422
equal,1980s,10.22,23.51,0.435,-83.37,2609
equal,1990s,19.87,23.92,0.831,-62.36,2610
equal,2000s,12.98,24.95,0.52,-53.08,2609
equal,2010s,14.61,22.01,0.664,-43.11,2608
equal,2020s,1.89,20.54,0.092,-49.15,1107
fw_handcraft,full,16.39,28.91,0.567,-103.24,13422
fw_handcraft,1980s,22.05,34.73,0.635,-79.28,2609
fw_handcraft,1990s,23.83,30.18,0.789,-66.51,2610
fw_handcraft,2000s,10.98,25.99,0.422,-66.1,2609
fw_handcraft,2010s,7.79,20.06,0.388,-40.31,2608
fw_handcraft,2020s,12.68,22.51,0.564,-30.1,1107
fw_shrinkage,full,14.29,28.39,0.503,-100.19,13422
fw_shrinkage,1980s,18.84,32.84,0.574,-72.7,2609
fw_shrinkage,1990s,20.13,29.67,0.678,-79.23,2610
fw_shrinkage,2000s,10.87,24.16,0.45,-61.41,2609
fw_shrinkage,2010s,5.56,19.41,0.286,-48.3,2608
fw_shrinkage,2020s,8.88,21.16,0.419,-39.89,1107
fw_hrp,full,12.01,27.39,0.438,-91.79,13422
fw_hrp,1980s,25.86,34.3,0.754,-67.78,2609
fw_hrp,1990s,15.24,27.71,0.55,-74.07,2610
fw_hrp,2000s,7.37,23.36,0.315,-60.31,2609
fw_hrp,2010s,0.05,18.86,0.003,-69.74,2608
fw_hrp,2020s,8.55,21.59,0.396,-44.74,1107
fw_equal,full,13.99,27.68,0.506,-92.4,13422
fw_equal,1980s,27.72,34.24,0.81,-70.4,2609
fw_equal,1990s,17.77,28.11,0.632,-50.34,2610
fw_equal,2000s,8.45,23.36,0.362,-55.67,2609
fw_equal,2010s,1.16,19.14,0.061,-62.96,2608
fw_equal,2020s,10.35,21.39,0.484,-43.63,1107
