,breakout_ens
1972-10-18,0.0
1972-10-19,0.0
1972-10-20,0.0
1972-10-23,0.0
1972-10-24,0.0
1972-10-25,0.0
1972-10-26,0.0
1972-10-27,0.0
1972-10-30,0.0
1972-10-31,0.0
1972-11-01,0.0
1972-11-02,-0.029070753249571327
1972-11-03,-0.06832926862040817
1972-11-06,-0.7716517841311459
1972-11-07,-0.0021387248254991654
1972-11-08,0.6768335020336219
1972-11-09,-0.18704249204421405
1972-11-10,-0.3939762046827201
1972-11-13,2.248808701044225
1972-11-14,-0.3478000000000043
1972-11-15,1.41
1972-11-16,-1.647210659726304
1972-11-17,0.2439208344692486
1972-11-20,-1.7533059496849384
1972-11-21,0.9211119627028412
1972-11-22,-0.2721324278725957
1972-11-23,-0.004178720121282315
1972-11-24,1.6549524062805347
1972-11-27,1.8278947177844593
1972-11-28,-1.577111386986456
1972-11-29,-2.7711823850025055
1972-11-30,3.859199999999994
1972-12-01,3.685
1972-12-04,7.705
1972-12-05,0.6558320000135319
1972-12-06,-3.42
1972-12-07,1.425
1972-12-08,2.85
1972-12-11,-2.85
1972-12-12,1.14
1972-12-13,-2.851512952278585
1972-12-14,-0.58
1972-12-15,-1.4529808908928523
1972-12-18,-7.201671123344749
1972-12-19,1.2166875932600874
1972-12-20,4.566600000000005
1972-12-21,1.3317086331729144
1972-12-22,-2.9
1972-12-25,0.0
1972-12-26,0.58
1972-12-27,-0.15079999999999474
1972-12-28,0.0
1972-12-29,2.61
1973-01-01,0.0
1973-01-02,-2.61
1973-01-03,0.4407999999999947
1973-01-04,-2.9
1973-01-05,-1.74
1973-01-08,-2.9
1973-01-09,2.32
1973-01-10,1.74
1973-01-11,-6.09
1973-01-12,-0.87
1973-01-15,0.0
1973-01-16,2.749200000000005
1973-01-17,-1.879200000000005
1973-01-18,-0.58
1973-01-19,0.87
1973-01-22,0.87
1973-01-23,2.32
1973-01-24,0.87
1973-01-25,0.0
1973-01-26,-3.77
1973-01-29,-0.87
1973-01-30,-0.58
1973-01-31,0.58
1973-02-01,-2.61
1973-02-02,2.32
1973-02-05,1.74
1973-02-06,-2.03
1973-02-07,-0.58
1973-02-08,0.0
1973-02-09,1.45
1973-02-12,3.77
1973-02-13,1.45
1973-02-14,-3.0524148901059935
1973-02-15,0.7433999999999946
1973-02-16,1.475
1973-02-19,-0.003183650516853773
1973-02-20,1.22
1973-02-21,6.096726367073729
1973-02-22,2.52
1973-02-23,-3.465
1973-02-26,-1.2616401191350242
1973-02-27,-0.9632655268310849
1973-02-28,1.9767422230945584
1973-03-01,6.796650547823446
1973-03-02,-2.8
1973-03-05,3.3180000000000067
1973-03-06,0.18033036323390392
1973-03-07,0.7050155002656925
1973-03-08,-4.446694337611621
1973-03-09,1.17
1973-03-12,-3.9
1973-03-13,-0.78
1973-03-14,1.948340798958491
1973-03-15,1.5766939807911038
1973-03-16,0.40170949976385195
1973-03-19,-2.9099327262337367
1973-03-20,1.29
1973-03-21,0.4283699332951941
1973-03-22,5.2150820517330985
1973-03-23,-3.15
1973-03-26,-1.35
1973-03-27,-3.151631629127479
1973-03-28,3.858400000000008
1973-03-29,0.23659999999999173
1973-03-30,0.906762715978117
1973-04-02,10.225004226274143
1973-04-03,-3.8416662741987992
1973-04-04,2.85
1973-04-05,-2.621999999999991
1973-04-06,-1.425
1973-04-09,6.65
1973-04-10,-2.6030000000000086
1973-04-11,-1.1969999999999912
1973-04-12,2.85
1973-04-13,0.24699999999999137
1973-04-16,3.325
1973-04-17,-1.4266414226079265
1973-04-18,5.75670266637099
1973-04-19,1.47
1973-04-20,-0.0016366574815257157
1973-04-23,4.948360632383193
1973-04-24,-4.501642631181715
1973-04-25,8.08
1973-04-26,-7.575
1973-04-27,-1.0166894166414733
1973-04-30,9.7
1973-05-01,9.206366507487719
1973-05-02,-6.445221815805402
1973-05-03,5.778008692210907
1973-05-04,-0.425
1973-05-07,7.225
1973-05-08,2.125
1973-05-09,0.85
1973-05-10,-10.20179537457737
1973-05-11,0.852842667213493
1973-05-14,3.28
1973-05-15,0.41
1973-05-16,-4.1
1973-05-17,-1.23
1973-05-18,6.97
1973-05-21,12.71
1973-05-22,2.0425729498865315
1973-05-23,1.17
1973-05-24,1.95
1973-05-25,12.866167680652964
1973-05-28,0.0
1973-05-29,12.8
1973-05-30,-12.0
1973-05-31,3.9796754777787737
1973-06-01,7.0
1973-06-04,14.35
1973-06-05,13.988863034945144
1973-06-06,-13.009296907585718
1973-06-07,-12.216904382496589
1973-06-08,4.3079041027379255
1973-06-11,9.427600000000004
1973-06-12,2.0873999999999957
1973-06-13,-2.94
1973-06-14,-9.555
1973-06-15,-7.600210682303203
1973-06-18,9.16233343850854
1973-06-19,3.9046595333763148
1973-06-20,-6.16
1973-06-21,5.72
1973-06-22,-5.72
1973-06-25,1.98
1973-06-26,-6.6
1973-06-27,-0.66
1973-06-28,-8.694399999999996
1973-06-29,6.048645917224694
1973-07-02,8.488272565917189
1973-07-03,0.6091148505983549
1973-07-04,0.0
1973-07-05,-7.41
1973-07-06,1.95
1973-07-09,0.975
1973-07-10,-3.51
1973-07-11,8.088600000000003
1973-07-12,1.2713999999999963
1973-07-13,4.68
1973-07-16,6.63
1973-07-17,-4.095
1973-07-18,1.17
1973-07-19,8.19
1973-07-20,7.8
1973-07-23,6.24
1973-07-24,-3.9033246600962577
1973-07-25,7.2
1973-07-26,4.8
1973-07-27,-8.003444614865945
1973-07-30,8.61
1973-07-31,8.2
1973-08-01,-2.87
1973-08-02,-1.23
1973-08-03,7.79
1973-08-06,8.2
1973-08-07,8.2
1973-08-08,7.79
1973-08-09,-2.05
1973-08-10,7.79
1973-08-13,8.2
1973-08-14,8.2
1973-08-15,-8.2
1973-08-16,-8.203951421293407
1973-08-17,-1.2079057466493612
1973-08-20,-3.8
1973-08-21,-7.22
1973-08-22,-7.60406807887039
1973-08-23,-7.4041226096728545
1973-08-24,7.2
1973-08-27,-7.384197302519427
1973-08-28,-7.0
1973-08-29,0.5207541564818826
1973-08-30,-8.16
1973-08-31,0.68
1973-09-03,0.0
1973-09-04,-5.78
1973-09-05,-6.8
1973-09-06,3.7311745420471074
1973-09-07,7.04
1973-09-10,-2.2489343128812864
1973-09-11,2.7
