variant,sharpe,diff,ci95_lo,ci95_hi,prob_beats
vb_d25_s50_b5,0.502,0.024,-0.01,0.06,0.914
vb_d35_s50_b5,0.495,0.017,-0.018,0.056,0.82
vb_d50_s50_b5,0.495,0.017,-0.024,0.061,0.782
vb_d25_s50_b10,0.49,0.012,-0.02,0.045,0.746
vb_d50_s30_b5,0.489,0.011,-0.006,0.028,0.889
vb_d35_s30_b5,0.485,0.007,-0.007,0.021,0.826
vb_d50_s50_b10,0.484,0.006,-0.039,0.051,0.595
vb_d35_s50_b10,0.484,0.006,-0.03,0.042,0.61
vb_d25_s30_b5,0.483,0.005,-0.019,0.029,0.66
vb_d35_s50_b15,0.479,0.001,-0.039,0.039,0.507
vb_d50_s20_b5,0.479,0.001,-0.019,0.021,0.534
vb_d50_s30_b10,0.476,-0.002,-0.021,0.016,0.422
vb_d50_s50_b15,0.475,-0.003,-0.051,0.045,0.448
vb_d25_s50_b15,0.475,-0.003,-0.037,0.031,0.434
vb_d50_s20_b10,0.469,-0.009,-0.029,0.01,0.168
vb_d50_s30_b15,0.469,-0.009,-0.035,0.016,0.25
vb_d25_s30_b10,0.467,-0.011,-0.029,0.006,0.096
vb_d25_s20_b5,0.467,-0.011,-0.047,0.021,0.259
vb_d35_s20_b5,0.467,-0.011,-0.036,0.012,0.179
vb_d35_s30_b15,0.459,-0.019,-0.033,-0.004,0.004
vb_d35_s20_b10,0.459,-0.019,-0.04,0.002,0.031
vb_d25_s30_b15,0.457,-0.021,-0.036,-0.006,0.002
vb_d50_s20_b15,0.457,-0.021,-0.046,0.003,0.048
vb_d25_s20_b10,0.454,-0.024,-0.056,0.006,0.06
vb_d35_s20_b15,0.453,-0.025,-0.048,-0.003,0.014
vb_d50_s0_b5,0.447,-0.031,-0.089,0.02,0.131
vb_d50_s0_b10,0.443,-0.036,-0.094,0.018,0.088
vb_d25_s20_b15,0.441,-0.037,-0.067,-0.009,0.008
vb_d35_s0_b5,0.44,-0.038,-0.104,0.023,0.116
vb_d25_s0_b5,0.434,-0.044,-0.121,0.026,0.114
vb_d50_s0_b15,0.433,-0.045,-0.103,0.009,0.046
vb_d35_s0_b10,0.429,-0.049,-0.116,0.01,0.05
vb_d25_s0_b10,0.424,-0.054,-0.129,0.015,0.064
vb_d35_s0_b15,0.421,-0.057,-0.123,0.002,0.028
vb_d25_s0_b15,0.414,-0.064,-0.141,0.005,0.034
